id,nr,title,subtitle,x,y
flur-001,1,Spitzberg,"618 m hoher markant spitziger Berg oberhalb der Wehrmühle, in Richtung Kösteldorf gelegen.",5284,1732
flur-002,2,Wejam(ü)hl,"Wehrmühle: Idyllisch im Schwarzebachtal gelegene alte Getreidemühle, die bereits im 17-ten Jahrhundert existierte.",5232,2354
flur-003,3,Åffenfölsn,"Affenfelsen: Freiliegender Felsen oberhalb des Schwarzebaches in der Nähe der Wehrmühle, der heute teilweise verschüttet und zugewachsen ist. War fruuher beliebtes Ausflugsziel, insbesondere Schulklassen.",5602,2700
flur-004,4,Rouwasberch,"Robesberg – 555 m hoher Berg nördlich von Pechgrün, zwischen Spizberg (618 m) und Fuchsberg (576 m) gelegen.",5919,2282
flur-005,5,Long Wies,"Lange Wiese: schmal und langgezogen, oft entlang eines Bachs, entlang eines Wegs, in einer Senke, am Rand einer Leitn.",6340,2316
flur-006,6,Spitzeich,"Keilförmig, steil, aufstrebender Hang.",5628,1772
flur-007,7,Weg nach Kösteldorf,Kösteldorf ist ein nördlich und oberhalb gelegenes Nachbardorf von Pechgrün.,5881,1899
flur-008,8,Kahlhau,"Flurname für einen Bergrücken oder eine Fläche, die durch vollständigen Holzeinschlag kahl lag.",5848,1252
flur-009,9,Krebsn Reimla,"Eine kleine Geländekante oder Böschung bei einer Stelle, wo Bach Krebse vorkamen oder gefangen wurden.",6669,1688
flur-010,10,Graußa Hau,"Ein großes Waldstück, das (einmal) stark oder vollständig geschlagen wurde.",6737,1835
flur-011,11,Hauchrat,"Ein extrem steiler Hang oder Abfall, auf dem man leicht ausrutscht oder abrutscht.",7087,1671
flur-012,12,Fuchsberg,576 m hoher Berg am Weg in westlicher Richtung gelegen zwischen Wehrmühle und Tal des Wolfschlagbachs.,7415,2069
flur-013,13,Siehr Felsen,Felsen in der Nähe des Fuchsbergs in den der Pechgrüner Heinrich Siehr (Schulfreund meines Onkels) 1938 seinen Name eingeritzt hat . Heinrich ist im 2. Weltkrieg gefallen.,8064,2035
flur-014,14,Katzenglimmerloch,"Sinngemäß etwa „Katzen-Glimmerloch“ – eine kleine Mulde mit silbrig schimmerndem Untergrund, meist durch Glimmer oder helle Minerale). Katze“ ist hier – wie oft im Dialekt – kein Tierbezug, sondern: Verkleinerung, Bildhaftigkeit, etwas Unscheinbares, aber Auffälliges.",8221,1793
flur-015,15,Gmuirang,"Gemauerter Rain: gmui(r)t / gmuir- = gemauert, rong / rang / rain = Rain → Grenzstreifen, Kante, schmale Böschung.",8016,1732
flur-016,16,Wolfschlagbach,"Bach, der durch den „Wolfschlag“ (eine ehemalige Rodungs- bzw. Einschlagsfläche) fließt.",7757,1314
flur-017,17,Raubsack,"Ausgelaugter, ertragsschwacher Boden; „ausgeraubte“ Fläche.",9844,2193
flur-018,18,Trachter,"Trichterförmige Senke oder Engstelle, in der sich Wege oder Wasser sammeln.",9982,3226
flur-019,19,Wolfsberg,"496 m hoher Berg, heute von Pechgrüner Abraumhalde vollständig verschluckt.",8360,2909
flur-020,20,Zichaunerwold,"""Zigeunerwald"": Bezeichnung eines abgelegenen Waldstücks, das man mit durchziehenden oder lagernden Gruppen verband.",8728,3214
flur-021,21,Kralers,"Uneben, zerklüftet, verwachsen; schwer begehbares oder unruhiges Gelände.",8902,2901
flur-022,22,Hoidlbüsch,Holunderbusch oder -gebüsch; Hinweis auf frühere Siedlungs- oder Wegnähe.,7912,2544
flur-023,23,Poschetzauer Wallerl,Kleiner Erdwall an der Flurgrenze; benannt nach Nutzern oder Besitzern aus dem Ort Poschetzau.,8012,2933
flur-024,24,Erlseich,"Eine dauerhaft feuchte, sumpfige Senke, in der Erlen wachsen – oft mit quelligem Wasser oder Staunässe.",7634,2879
flur-025,25,Masta Wenzl's Bühlerl,"Eine kleine, rundliche Geländeerhebung / Kuppe, die dem Masta, Wenzl gehörte.",7728,4162
flur-026,26,Obere Hirtenhoud,"Hirtenhoud = Hirtenhut / Hirtenplatz / Hirtenstandort, also der Ort auf dem der Hirte das Vieh hütete.",7921,3529
flur-027,27,Hirtenhoud,"Hirtenhoud = Hirtenhut / Hirtenplatz / Hirtenstandort, also der Ort auf dem der Hirte das Vieh hütete.",8613,3974
flur-028,28,Untere Hirtenhoud,"Hirtenhoud = Hirtenhut / Hirtenplatz / Hirtenstandort, also der Ort auf dem der Hirte das Vieh hütete.",9108,4056
flur-029,29,am wöidich'n Ochsn,"""wilder Ochse"": nicht wörtlich (kein Tier), sondern bildhaft für einen großen, grob geformten, auffälligen Stein oder Felsblock, der an einen Ochsen erinnert.",7030,3981
flur-030,30,Neibauern Wallerla,"Eine niedrige Geländeerhebung oder Aufschüttung, die man mit dem Neubauern verband.",6874,3638
flur-031,31,Gagl Teich,"Nasse Senke mit Gagelbewuchs; Hinweis auf saure, moorige Bodenverhältnisse. Gagel ist ein typischer Moorstrauch.",6582,3488
flur-032,32,Nazenbirkla,"Kleine birkenbestandene Fläche; benannt nach Vinzenz („Naatzn“) Rossmeisl, einem Urgroßvater von Claus.",7045,3866
flur-033,33,Fuxlöcher,Stelle mit mehreren Fuchsbauen bzw. natürlichen Tierhöhlen.,7681,3178
flur-034,34,Owastteich,„Oberster Teich“ / „oberer Teich“: also der oben gelegene Teich im Gelände.,8662,5605
flur-035,35,Bärnhaut,"""Bärenhaut"" (nicht wörtlich sondern bildhaft): unregelmäßige, ausgebreitete Fläche – oft groß, unförmig, zerzaust im Randbereich.",7429,4758
